Provincia,Fecha,Latitud,Longitud,Profundidad,Magnitud,Intensidad,Localización
A Coruña,29/09/1858,42.8833,-8.5500,0.0,,IV-V,Santiago de Compostela.C
A Coruña,12/12/1863,42.8833,-8.5500,0.0,,IV,Santiago de Compostela.C
A Coruña,04/09/1876,42.8833,-8.5500,0.0,,V,Santiago de Compostela.C
A Coruña,23/11/1877,42.8833,-8.5500,0.0,,III,Santiago de Compostela.C
A Coruña,27/05/1878,43.4833,-8.2333,0.0,,III,Ferrol.C
A Coruña,05/08/1878,43.4833,-8.2333,0.0,,III,Ferrol.C
A Coruña,18/11/1880,43.4833,-8.2333,0.0,,III,Ferrol.C
A Coruña,09/09/1882,43.3667,-8.3833,0.0,,IV,La Coruña
A Coruña,23/10/1882,42.8833,-8.5500,0.0,,V,Santiago de Compostela.C
A Coruña,13/02/1884,43.3667,-8.3833,0.0,,IV,La Coruña
A Coruña,25/05/1897,43.5000,-8.2333,0.0,,V,Ferrol.C
A Coruña,17/12/1904,42.9000,-8.5000,0.0,,IV,SANTIAGO COMPOSTELA.C
A Coruña,21/05/1906,42.9000,-8.5000,0.0,,IV,SANTIAGO COMPOSTELA.C
A Coruña,24/11/1910,43.5333,-8.2500,0.0,,VII,EL FERROL.C
A Coruña,14/11/1915,43.4000,-8.4000,0.0,,IV,LA CORUÑA
A Coruña,25/10/1925,42.8833,-8.5500,0.0,,IV,SANTIAGO.C
A Coruña,07/06/1973,42.8333,-8.8000,0.0,3.3,,NOYA.C
A Coruña,04/02/1987,42.9717,-8.7917,9.0,2.8,IV,W SAN VICENZO.C
A Coruña,06/07/1987,43.0550,-8.3900,8.0,2.9,,SE ORDES.C
A Coruña,25/04/1988,43.1450,-8.6150,23.0,3.0,,"NW PONTEPEDRA, A.C"
A Coruña,07/12/1988,43.0033,-9.1083,3.0,3.1,III,SE DUMBRÍA.C
A Coruña,05/07/1989,43.3500,-8.1817,5.0,2.5,,"E CARREIRA, A.C"
A Coruña,18/05/1990,42.8717,-8.7150,10.0,2.9,,W PEDROUZOS.C
A Coruña,09/04/1991,43.0667,-8.1000,5.0,2.7,,SE RU.C
A Coruña,04/05/1991,42.9700,-8.4700,3.0,3.3,III,SW SIGÜEIRO.C
A Coruña,01/11/1992,42.9283,-8.5300,9.0,3.0,,NE SANTIAGO DE COMPOSTELA.C
A Coruña,08/11/1992,42.9367,-8.5500,10.0,2.7,,N SANTIAGO DE COMPOSTELA.C
A Coruña,29/12/1992,42.4900,-9.0633,0.0,2.8,,SW SANTA UXÍA DE RIBEIRA.C
A Coruña,03/08/1993,43.2850,-8.8400,13.0,3.0,,SW MALPICA.C
A Coruña,25/11/1993,42.7300,-9.1383,9.0,2.6,,SW MUROS.C
A Coruña,15/01/1994,42.8883,-9.0350,0.0,2.9,,"SW PICOTA, A.C"
A Coruña,05/08/1995,43.0700,-8.7600,12.0,2.9,,NE SANTA CATALIÑA DE ARMADA.C
A Coruña,08/05/1996,43.0883,-8.3933,9.0,2.9,,NE ORDES.C
A Coruña,09/08/1996,43.0633,-8.3583,2.0,3.5,III,SE ORDES.C
A Coruña,10/08/1996,43.1083,-8.4367,9.0,2.9,,NW ORDES.C
A Coruña,11/12/1996,42.8883,-8.3417,0.0,3.5,,"SE PEDROUZO, O.C"
A Coruña,11/03/1997,43.4000,-8.4683,8.0,3.2,,"NW CORUÑA, A.C"
A Coruña,09/04/1997,42.8450,-8.9867,6.0,3.4,II,"W SERRA DE OUTES, A.C"
A Coruña,13/05/1997,42.8233,-9.0750,3.0,2.8,,E CARNOTA.C
A Coruña,15/11/1998,42.7328,-9.0957,10.6,2.8,II-III,SW MUROS.C
A Coruña,18/02/1999,42.7380,-9.1091,5.0,2.6,,SW MUROS.C
A Coruña,13/07/2000,43.1232,-8.7012,8.7,3.0,III-IV,SE SAN ROQUE.C
A Coruña,13/07/2000,43.1154,-8.7372,10.1,2.6,II-III,S SAN ROQUE.C
A Coruña,13/07/2000,43.1153,-8.7419,0.0,2.6,,S SAN ROQUE.C
A Coruña,13/07/2000,43.0963,-8.7042,0.0,2.7,,NW BEMBIBRE.C
A Coruña,13/07/2000,43.1709,-8.7746,10.8,3.3,III-IV,SW SAN ROQUE.C
A Coruña,13/07/2000,43.1159,-8.7160,0.0,2.7,II,S SAN ROQUE.C
A Coruña,13/07/2000,43.0933,-8.6559,2.1,2.5,,N BEMBIBRE.C
A Coruña,13/07/2000,43.1181,-8.7386,2.2,2.7,,S SAN ROQUE.C
A Coruña,13/07/2000,43.1177,-8.7615,7.9,3.1,,SW SAN ROQUE.C
A Coruña,13/07/2000,43.1064,-8.7384,3.0,3.3,III,S SAN ROQUE.C
A Coruña,13/07/2000,43.1118,-8.7262,9.9,2.6,,S SAN ROQUE.C
A Coruña,13/07/2000,43.1086,-8.7462,0.0,2.6,II,S SAN ROQUE.C
A Coruña,13/07/2000,43.1335,-8.7324,0.0,2.9,,S SAN ROQUE.C
A Coruña,13/07/2000,43.1445,-8.7874,4.4,3.0,,SW SAN ROQUE.C
A Coruña,14/07/2000,43.1039,-8.6885,6.7,2.6,,NW BEMBIBRE.C
A Coruña,08/10/2000,43.2181,-9.1396,10.9,2.6,,NE CAMARIÑAS.C
A Coruña,01/01/2001,43.3111,-8.5800,0.0,2.5,,W A BAIUCA.C
A Coruña,13/01/2001,43.2230,-8.5518,0.4,2.7,,SE A LARACHA.C
A Coruña,22/06/2001,42.9066,-8.9050,0.0,2.5,,N A SERRA DE OUTES.C
A Coruña,15/09/2001,42.7406,-8.7721,0.0,2.5,,NW TALLÓS.C
A Coruña,28/12/2001,43.0636,-8.7556,5.1,2.7,,NE SANTA CATALIÑA DE ARMADA.C
A Coruña,17/03/2002,43.1113,-9.0736,11.0,2.8,,W VIMIANZO.C
A Coruña,14/05/2002,43.1299,-8.7868,0.0,2.7,III,SW SAN ROQUE.C
A Coruña,02/04/2004,42.8773,-9.0595,14.1,3.0,,NE CARNOTA.C
A Coruña,07/04/2005,43.0735,-8.4092,21.2,2.7,II,SW ORDES.C
A Coruña,10/09/2006,42.9460,-8.5200,4.7,2.6,,NE SANTIAGO DE COMPOSTELA.C
A Coruña,17/06/2008,42.6111,-9.2082,4.4,2.6,,W SANTA UXÍA DE RIBEIRA.C
A Coruña,02/04/2009,43.2309,-8.0315,19.3,2.5,II,SW PONTE ARANGA.C
A Coruña,04/01/2011,42.5995,-9.2276,5.6,2.7,II,ATLÁNTICO-GALICIA
A Coruña,04/02/2011,42.6190,-9.1791,6.0,2.5,,NW SANTA UXÍA DE RIBEIRA.C
A Coruña,13/03/2011,42.9709,-8.5269,10.6,2.9,III,S VIAÑO PEQUENO.C
A Coruña,03/04/2011,42.6179,-9.1935,12.5,2.5,,NW SANTA UXÍA DE RIBEIRA.C
A Coruña,03/04/2011,42.6089,-9.2130,12.1,2.6,,ATLÁNTICO-GALICIA
A Coruña,09/11/2013,42.6706,-9.0992,11.0,2.8,I-II,SW PORTO DO SON.C
A Coruña,27/11/2013,42.6594,-9.0604,7.0,2.8,II-III,SW PORTO DO SON.C
A Coruña,21/01/2014,42.6635,-9.0450,11.0,2.7,II-III,SW PORTO DO SON.C
A Coruña,04/07/2014,43.0850,-8.7928,10.0,2.5,,NE SANTA CATALIÑA DE ARMADA.C
A Coruña,04/03/2015,43.2591,-7.9645,11.0,2.5,,NE PONTE ARANGA.C
A Coruña,04/05/2015,42.9741,-8.0350,11.0,2.6,II,W SOUTO.C
A Coruña,14/10/2015,43.1853,-8.9235,7.0,2.5,III,SW A CARBALLA.C
A Coruña,27/12/2015,42.6639,-9.0374,8.0,2.9,II,SW PORTO DO SON.C
A Coruña,07/01/2016,42.6350,-9.0346,11.0,2.7,II,NW A POBRA DO CARAMIÑAL.C
A Coruña,07/01/2016,42.6534,-8.9592,11.0,2.5,II,NW A POBRA DO CARAMIÑAL.C
A Coruña,05/02/2016,42.6689,-9.0388,7.0,2.5,,SW PORTO DO SON.C
A Coruña,31/07/2016,42.6766,-9.1320,12.0,2.5,,SW PORTO DO SON.C
A Coruña,31/07/2016,42.6454,-9.1112,11.0,2.8,,SW PORTO DO SON.C
A Coruña,03/07/2017,43.5842,-7.8537,16.0,2.8,,NE A IGREXA.C
A Coruña,07/02/2018,43.3808,-8.3135,12.0,2.9,II-III,N O REAL.C
A Coruña,22/03/2018,43.1256,-8.3498,11.0,2.5,,NE ORDES.C
A Coruña,11/04/2018,42.6058,-9.2218,12.0,2.5,,W SANTA UXÍA DE RIBEIRA.C
A Coruña,06/05/2018,43.1307,-8.8046,40.0,2.6,,SW SAN ROQUE.C
A Coruña,29/05/2019,43.1219,-8.3687,16.0,2.5,II,NE ORDES.C
A Coruña,13/10/2019,43.0436,-8.3499,8.0,2.5,,W FRADES.C
A Coruña,12/01/2020,43.2511,-8.6732,20.0,2.5,II,NE CARBALLO.C
A Coruña,16/05/2020,43.0092,-8.3106,0.0,3.0,II,SW FRADES.C
A Coruña,03/06/2020,43.0292,-8.4409,0.0,3.0,III-IV,SW ORDES.C
A Coruña,18/09/2020,42.9409,-8.5285,5.0,2.6,I-II,NE SANTIAGO DE COMPOSTELA.C
A Coruña,01/01/2021,42.9838,-8.6369,12.0,2.8,II,SE VAL DO DUBRA.C
A Coruña,21/01/2021,43.3194,-8.6394,18.0,2.5,,NW A LARACHA.C
A Coruña,24/09/2021,43.3123,-8.9204,3.0,2.5,,NW PONTECESO.C
A Coruña,21/12/2021,43.2081,-8.9810,10.0,3.5,III-IV,SE LAXE.C
A Coruña,24/05/2022,42.6129,-9.1417,20.0,2.7,,NW RIBEIRA.C
A Coruña,20/03/2023,42.7812,-8.9979,3.0,2.6,II-III,E MUROS.C
A Coruña,13/06/2023,43.0612,-8.2600,0.0,2.8,II,SW MESÍA.C
A Coruña,08/08/2023,43.2458,-9.0962,7.0,2.5,,NW LAXE.C
A Coruña,27/10/2023,42.4991,-9.0631,8.0,3.0,II,SW RIBEIRA.C
A Coruña,30/11/2023,42.9844,-8.4193,7.0,3.3,III,NE OROSO.C
A Coruña,04/12/2023,43.0707,-9.1570,1.0,3.1,III,SE MUXÍA.C
A Coruña,24/02/2024,43.6047,-7.9292,0.0,3.0,III,E CERDIDO.C
A Coruña,03/04/2024,43.1634,-8.5478,3.0,2.8,II-III,SW CERCEDA.C
A Coruña,02/03/2025,42.9670,-8.4868,11.0,2.5,I-II,W OROSO.C
Albacete,26/04/1860,39.0000,-1.8500,0.0,,IV,Albacete
Albacete,23/02/1899,38.5000,-1.6333,0.0,,IV,Minateda.AB
Albacete,21/06/1918,39.2000,-2.1667,0.0,,III,LA RODA.AB
Albacete,10/08/1930,38.9167,-2.7500,0.0,,V,OSSA DE MONTIEL.AB
Albacete,20/03/1933,38.9167,-1.7167,0.0,3.5,V,CHINCHILLA.AB
Albacete,26/02/1941,39.0333,-2.5667,0.0,,III,SOTUELAMOS.AB
Albacete,09/08/1943,39.2833,-1.4667,0.0,3.9,V,CASAS IBAÑEZ.AB
Albacete,18/06/1958,38.9000,-1.5250,10.0,4.3,VI,SE HOYA-GONZALO.AB
Albacete,18/07/1965,38.3567,-1.6767,5.0,3.4,,S HELLÍN.AB
Albacete,05/10/1965,38.5267,-1.7667,5.0,3.8,,W HELLÍN.AB
Albacete,08/10/1965,38.5517,-1.9400,9.0,4.0,,NE LIÉTOR.AB
Albacete,08/10/1965,38.4200,-1.6433,5.0,4.0,,SE HELLÍN.AB
Albacete,08/10/1965,38.3567,-1.8817,9.0,3.9,,E SOCOVOS.AB
Albacete,09/10/1965,38.3567,-1.6633,5.0,3.6,,S HELLÍN.AB
Albacete,21/10/1965,38.3567,-1.6833,5.0,3.0,,S HELLÍN.AB
Albacete,11/12/1965,38.4367,-1.7967,5.0,3.3,,SW HELLÍN.AB
Albacete,28/02/1966,38.5583,-1.8700,25.0,3.1,,E LIÉTOR.AB
Albacete,19/07/1966,39.1000,-2.0000,0.0,3.8,III,LA GINETA.AB
Albacete,21/03/1970,38.3567,-1.8933,5.0,3.0,,E SOCOVOS.AB
Albacete,14/04/1972,38.7383,-1.1183,5.0,3.2,,W CAUDETE.AB
Albacete,02/07/1972,38.5017,-2.0417,9.0,3.7,,N ELCHE DE LA SIERRA.AB
Albacete,11/03/1973,38.5350,-1.9267,5.0,4.1,,E LIÉTOR.AB
Albacete,23/12/1974,38.4667,-1.7933,5.0,3.0,,SW HELLÍN.AB
Albacete,24/06/1982,38.7133,-0.9650,10.0,3.0,,NE CAUDETE.AB
Albacete,10/10/1982,38.7917,-1.8500,8.0,3.5,,NE POZOHONDO.AB
Albacete,06/11/1982,38.4750,-1.8550,5.0,3.0,,SE LIÉTOR.AB
Albacete,23/11/1983,38.4000,-1.7633,10.0,3.2,,SW HELLÍN.AB
Albacete,23/11/1983,38.3833,-1.7600,7.0,3.1,,SW HELLÍN.AB
Albacete,23/01/1985,38.3650,-1.5533,5.0,3.8,IV,SE HELLÍN.AB
Albacete,25/11/1985,38.5167,-1.5367,10.0,3.1,,SW ALBATANA.AB
Albacete,13/05/1986,39.2283,-2.6733,5.0,3.0,,SW VILLARROBLEDO.AB
Albacete,13/05/1986,39.2300,-2.7250,5.0,3.6,III,SW VILLARROBLEDO.AB
Albacete,09/06/1986,38.7267,-2.3100,25.0,3.4,IV-V,NE MASEGOSO.AB
Albacete,21/06/1986,38.4700,-2.0317,5.0,3.1,,NE ELCHE DE LA SIERRA.AB
Albacete,22/06/1987,39.1150,-2.6467,17.0,3.1,,NW MUNERA.AB
Albacete,01/03/1990,38.5467,-1.7633,3.0,3.2,,NW HELLÍN.AB
